"numero_colegiatura","nombres","consejo","habilidad","actualizado","foto_url"
"D100001","PERSONA SINTETICA 001 PATRICIA QUISPE ALVAREZ","CONSEJO REGIONAL II LA LIBERTAD","I","2026-07-26T12:00:00.000Z",""
"D100002","PERSONA SINTETICA 002 CARMEN VARGAS QUISPE","CONSEJO REGIONAL DEMO LIMA","H","2026-07-26T12:00:00.000Z","/demo/fotos/persona-sintetica-002.webp"
"D100003","PERSONA SINTETICA 003 ROSA ALVAREZ ROJAS","CONSEJO REGIONAL DEMO AREQUIPA","H","2026-07-26T12:00:00.000Z","/demo/fotos/persona-sintetica-003.webp"
"D100004","PERSONA SINTETICA 004 MARIA SALAZAR CASTILLO","CONSEJO REGIONAL DEMO CUSCO","H","2026-08-03T12:00:00.000Z","/demo/fotos/persona-sintetica-004.webp"
"D100005","PERSONA SINTETICA 005 GLORIA VARGAS TORRES","CONSEJO REGIONAL DEMO PIURA","I","2026-07-28T12:00:00.000Z","/demo/fotos/persona-sintetica-005.webp"
"D100006","PERSONA SINTETICA 006 GLORIA HUAMAN FLORES","CONSEJO REGIONAL II LA LIBERTAD","H","2026-08-03T12:00:00.000Z","/demo/fotos/persona-sintetica-006.webp"
"D100007","PERSONA SINTETICA 007 GLORIA ROJAS MAMANI","CONSEJO REGIONAL DEMO LIMA","H","2026-07-29T12:00:00.000Z","/demo/fotos/persona-sintetica-007.webp"
"D100008","PERSONA SINTETICA 008 ROSA SALAZAR ROJAS","CONSEJO REGIONAL DEMO AREQUIPA","I","2026-08-07T12:00:00.000Z",""
"D100009","PERSONA SINTETICA 009 ELENA ROJAS SALAZAR","CONSEJO REGIONAL DEMO CUSCO","H","2026-08-07T12:00:00.000Z","/demo/fotos/persona-sintetica-009.webp"
"D100010","PERSONA SINTETICA 010 GLORIA QUISPE CHAVEZ","CONSEJO REGIONAL DEMO PIURA","H","2026-08-04T12:00:00.000Z","/demo/fotos/persona-sintetica-010.webp"
"D100011","PERSONA SINTETICA 011 JULIA VARGAS QUISPE","CONSEJO REGIONAL II LA LIBERTAD","H","2026-08-01T12:00:00.000Z","/demo/fotos/persona-sintetica-011.webp"
"D100012","PERSONA SINTETICA 012 LUCIA CHAVEZ ALVAREZ","CONSEJO REGIONAL DEMO LIMA","H","2026-08-02T12:00:00.000Z","/demo/fotos/persona-sintetica-012.webp"
"D100013","PERSONA SINTETICA 013 ROSA VARGAS GARCIA","CONSEJO REGIONAL DEMO AREQUIPA","H","2026-07-24T12:00:00.000Z","/demo/fotos/persona-sintetica-013.webp"
"D100014","PERSONA SINTETICA 014 ROSA SALAZAR SALAZAR","CONSEJO REGIONAL DEMO CUSCO","H","2026-08-01T12:00:00.000Z","/demo/fotos/persona-sintetica-014.webp"
"D100015","PERSONA SINTETICA 015 SOFIA SALAZAR FLORES","CONSEJO REGIONAL DEMO PIURA","H","2026-08-06T12:00:00.000Z",""
"D100016","PERSONA SINTETICA 016 ROSA TORRES FLORES","CONSEJO REGIONAL II LA LIBERTAD","I","2026-08-07T12:00:00.000Z","/demo/fotos/persona-sintetica-016.webp"
"D100017","PERSONA SINTETICA 017 ANA SALAZAR RAMIREZ","CONSEJO REGIONAL DEMO LIMA","H","2026-07-24T12:00:00.000Z","/demo/fotos/persona-sintetica-017.webp"
"D100018","PERSONA SINTETICA 018 MELISSA VARGAS HUAMAN","CONSEJO REGIONAL DEMO AREQUIPA","H","2026-08-07T12:00:00.000Z","/demo/fotos/persona-sintetica-018.webp"
"D100019","PERSONA SINTETICA 019 MARIA RAMIREZ RAMIREZ","CONSEJO REGIONAL DEMO CUSCO","I","2026-08-02T12:00:00.000Z","/demo/fotos/persona-sintetica-019.webp"
"D100020","PERSONA SINTETICA 020 ROSA VARGAS ALVAREZ","CONSEJO REGIONAL DEMO PIURA","H","2026-08-05T12:00:00.000Z","/demo/fotos/persona-sintetica-020.webp"
"D100021","PERSONA SINTETICA 021 ANA ROJAS VARGAS","CONSEJO REGIONAL II LA LIBERTAD","I","2026-07-29T12:00:00.000Z","/demo/fotos/persona-sintetica-021.webp"
"D100022","PERSONA SINTETICA 022 CARMEN MENDOZA TORRES","CONSEJO REGIONAL DEMO LIMA","H","2026-08-01T12:00:00.000Z",""
"D100023","PERSONA SINTETICA 023 ELENA CASTILLO MAMANI","CONSEJO REGIONAL DEMO AREQUIPA","H","2026-08-03T12:00:00.000Z","/demo/fotos/persona-sintetica-023.webp"
"D100024","PERSONA SINTETICA 024 MELISSA VARGAS ALVAREZ","CONSEJO REGIONAL DEMO CUSCO","H","2026-07-29T12:00:00.000Z","/demo/fotos/persona-sintetica-024.webp"
"D100025","PERSONA SINTETICA 025 VERONICA SANCHEZ TORRES","CONSEJO REGIONAL DEMO PIURA","H","2026-07-22T12:00:00.000Z","/demo/fotos/persona-sintetica-025.webp"
"D100026","PERSONA SINTETICA 026 PATRICIA SALAZAR GARCIA","CONSEJO REGIONAL II LA LIBERTAD","I","2026-07-31T12:00:00.000Z","/demo/fotos/persona-sintetica-026.webp"
"D100027","PERSONA SINTETICA 027 CARMEN QUISPE MENDOZA","CONSEJO REGIONAL DEMO LIMA","H","2026-07-26T12:00:00.000Z","/demo/fotos/persona-sintetica-027.webp"
"D100028","PERSONA SINTETICA 028 DANIELA RAMIREZ ROJAS","CONSEJO REGIONAL DEMO AREQUIPA","H","2026-07-23T12:00:00.000Z","/demo/fotos/persona-sintetica-028.webp"
"D100029","PERSONA SINTETICA 029 GLORIA ALVAREZ VARGAS","CONSEJO REGIONAL DEMO CUSCO","I","2026-08-05T12:00:00.000Z",""
"D100030","PERSONA SINTETICA 030 MELISSA VARGAS VARGAS","CONSEJO REGIONAL DEMO PIURA","H","2026-07-22T12:00:00.000Z","/demo/fotos/persona-sintetica-030.webp"
"D100031","PERSONA SINTETICA 031 ROSA GARCIA CHAVEZ","CONSEJO REGIONAL II LA LIBERTAD","H","2026-08-02T12:00:00.000Z","/demo/fotos/persona-sintetica-031.webp"
"D100032","PERSONA SINTETICA 032 VERONICA TORRES MENDOZA","CONSEJO REGIONAL DEMO LIMA","I","2026-08-01T12:00:00.000Z","/demo/fotos/persona-sintetica-032.webp"
"D100033","PERSONA SINTETICA 033 MARIA SALAZAR QUISPE","CONSEJO REGIONAL DEMO AREQUIPA","H","2026-08-01T12:00:00.000Z","/demo/fotos/persona-sintetica-033.webp"
"D100034","PERSONA SINTETICA 034 ELENA SANCHEZ ALVAREZ","CONSEJO REGIONAL DEMO CUSCO","I","2026-08-08T12:00:00.000Z","/demo/fotos/persona-sintetica-034.webp"
"D100035","PERSONA SINTETICA 035 VERONICA MENDOZA ROJAS","CONSEJO REGIONAL DEMO PIURA","H","2026-07-27T12:00:00.000Z","/demo/fotos/persona-sintetica-035.webp"
"D100036","PERSONA SINTETICA 036 VERONICA MAMANI QUISPE","CONSEJO REGIONAL II LA LIBERTAD","H","2026-07-20T12:00:00.000Z",""
"D100037","PERSONA SINTETICA 037 DANIELA RAMIREZ TORRES","CONSEJO REGIONAL DEMO LIMA","H","2026-07-21T12:00:00.000Z","/demo/fotos/persona-sintetica-037.webp"
"D100038","PERSONA SINTETICA 038 ELENA CHAVEZ VARGAS","CONSEJO REGIONAL DEMO AREQUIPA","H","2026-07-29T12:00:00.000Z","/demo/fotos/persona-sintetica-038.webp"
"D100039","PERSONA SINTETICA 039 ANDREA FLORES MENDOZA","CONSEJO REGIONAL DEMO CUSCO","H","2026-08-07T12:00:00.000Z","/demo/fotos/persona-sintetica-039.webp"
"D100040","PERSONA SINTETICA 040 VERONICA CHAVEZ RAMIREZ","CONSEJO REGIONAL DEMO PIURA","H","2026-08-05T12:00:00.000Z","/demo/fotos/persona-sintetica-040.webp"
"D100041","PERSONA SINTETICA 041 ROSA SANCHEZ MENDOZA","CONSEJO REGIONAL II LA LIBERTAD","H","2026-07-24T12:00:00.000Z","/demo/fotos/persona-sintetica-041.webp"
"D100042","PERSONA SINTETICA 042 VERONICA CHAVEZ VARGAS","CONSEJO REGIONAL DEMO LIMA","I","2026-07-29T12:00:00.000Z","/demo/fotos/persona-sintetica-042.webp"
"D100043","PERSONA SINTETICA 043 VERONICA CHAVEZ HUAMAN","CONSEJO REGIONAL DEMO AREQUIPA","H","2026-07-28T12:00:00.000Z",""
"D100044","PERSONA SINTETICA 044 ANDREA QUISPE VARGAS","CONSEJO REGIONAL DEMO CUSCO","H","2026-08-04T12:00:00.000Z","/demo/fotos/persona-sintetica-044.webp"
"D100045","PERSONA SINTETICA 045 ANA CHAVEZ CHAVEZ","CONSEJO REGIONAL DEMO PIURA","H","2026-08-07T12:00:00.000Z","/demo/fotos/persona-sintetica-045.webp"
"D100046","PERSONA SINTETICA 046 SOFIA SALAZAR QUISPE","CONSEJO REGIONAL II LA LIBERTAD","H","2026-08-05T12:00:00.000Z","/demo/fotos/persona-sintetica-046.webp"
"D100047","PERSONA SINTETICA 047 ANA TORRES RAMIREZ","CONSEJO REGIONAL DEMO LIMA","H","2026-07-21T12:00:00.000Z","/demo/fotos/persona-sintetica-047.webp"
"D100048","PERSONA SINTETICA 048 ANDREA HUAMAN FLORES","CONSEJO REGIONAL DEMO AREQUIPA","H","2026-07-29T12:00:00.000Z","/demo/fotos/persona-sintetica-048.webp"
"D100049","PERSONA SINTETICA 049 SOFIA ROJAS CASTILLO","CONSEJO REGIONAL DEMO CUSCO","H","2026-08-03T12:00:00.000Z","/demo/fotos/persona-sintetica-049.webp"
"D100050","PERSONA SINTETICA 050 GLORIA RAMIREZ ROJAS","CONSEJO REGIONAL DEMO PIURA","H","2026-08-06T12:00:00.000Z",""
"D100051","PERSONA SINTETICA 051 MELISSA SALAZAR ROJAS","CONSEJO REGIONAL II LA LIBERTAD","H","2026-08-05T12:00:00.000Z","/demo/fotos/persona-sintetica-051.webp"
"D100052","PERSONA SINTETICA 052 ANA TORRES RAMIREZ","CONSEJO REGIONAL DEMO LIMA","I","2026-07-31T12:00:00.000Z","/demo/fotos/persona-sintetica-052.webp"
"D100053","PERSONA SINTETICA 053 LUCIA SALAZAR TORRES","CONSEJO REGIONAL DEMO AREQUIPA","H","2026-07-21T12:00:00.000Z","/demo/fotos/persona-sintetica-053.webp"
"D100054","PERSONA SINTETICA 054 ANA SALAZAR TORRES","CONSEJO REGIONAL DEMO CUSCO","H","2026-07-30T12:00:00.000Z","/demo/fotos/persona-sintetica-054.webp"
"D100055","PERSONA SINTETICA 055 GLORIA VARGAS GARCIA","CONSEJO REGIONAL DEMO PIURA","H","2026-08-05T12:00:00.000Z","/demo/fotos/persona-sintetica-055.webp"
"D100056","PERSONA SINTETICA 056 ROSA QUISPE MAMANI","CONSEJO REGIONAL II LA LIBERTAD","H","2026-07-22T12:00:00.000Z","/demo/fotos/persona-sintetica-056.webp"
"D100057","PERSONA SINTETICA 057 ROSA RAMIREZ ALVAREZ","CONSEJO REGIONAL DEMO LIMA","I","2026-07-21T12:00:00.000Z",""
"D100058","PERSONA SINTETICA 058 CARMEN QUISPE GARCIA","CONSEJO REGIONAL DEMO AREQUIPA","H","2026-07-27T12:00:00.000Z","/demo/fotos/persona-sintetica-058.webp"
"D100059","PERSONA SINTETICA 059 MELISSA CASTILLO VARGAS","CONSEJO REGIONAL DEMO CUSCO","H","2026-07-23T12:00:00.000Z","/demo/fotos/persona-sintetica-059.webp"
"D100060","PERSONA SINTETICA 060 ELENA GARCIA ROJAS","CONSEJO REGIONAL DEMO PIURA","H","2026-08-04T12:00:00.000Z","/demo/fotos/persona-sintetica-060.webp"
